Month,AAPL,MSFT,AAL,WMT
November-10,9.541,19.953,10.521,41.735
December-10,9.891,22.046,9.437,41.842
January-11,10.405,21.904,9.352,43.502
February-11,10.831,21.120,8.117,40.329
March-11,10.687,20.174,8.211,40.667
April-11,10.737,20.595,8.570,42.956
May-11,10.666,20.003,8.579,43.429
June-11,10.293,20.794,8.400,41.793
July-11,11.974,21.914,5.883,41.455
August-11,11.801,21.408,5.270,42.135
September-11,11.693,20.032,5.185,41.113
October-11,12.413,21.433,5.440,44.931
November-11,11.720,20.743,4.450,46.658
