Month,AAPL,MSFT,AAL,WMT,GOOGL,NFLX,EBAY,INTC,KMX,EA
10-Nov,9.541,19.953,10.521,41.735,167.98,435,177.24,232.61,244.56,89.025
10-Dec,9.891,22.046,9.437,41.842,168.47,436.18,175,233.1,252.043,85.01
11-Jan,10.405,21.904,9.352,43.502,166.68,434.38,174.48,233.32,257.99,84.91
11-Feb,10.831,21.12,8.117,40.329,170.16,428.76,177.55,229.74,258.035,83.37
11-Mar,10.687,20.174,8.211,40.667,173.242,421.17,172.78,229.98,264.51,84.28
11-Apr,10.737,20.595,8.57,42.956,172.55,414.77,173.22,234.08,270,84.75
11-May,10.666,20.003,8.579,43.429,172.32,409.24,173.69,233.885,256.01,85.83
11-Jun,10.293,20.794,8.4,41.793,167.94,402.35,174.15,234.45,244.68,85.11
11-Jul,11.974,21.914,5.883,41.455,173.73,406.42,176.7,236.18,217.125,88.92
11-Aug,11.801,21.408,5.27,42.135,170.3,411.42,177.34,233.43,217.31,81.29
11-Sep,11.693,20.032,5.185,41.113,175.94,416.02,181.38,231.6,218.9,85.95
11-Oct,12.413,21.433,5.44,44.931,176.945,409.68,179.92,233.61,220.71,80.99
11-Nov,11.72,20.743,4.45,46.658,180.155,403.32,177.92,228.7,221.59,86
